Species,Year
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Heracleum sphondylium,1992
Luzula campestris,1992
Leontodon hispidus,1992
Lolium perenne,1992
Lotus corniculatus,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa pratensis,1992
Pimpinella saxifraga,1992
Ranunculus acris,1992
Sanguisorba minor,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Crepis capillaris,1992
Trisetum flavescens,1992
Carex flacca,1992
Prunella vulgaris,1992
Veronica chamaedrys,1992
Agrostis capillaris,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Ajuga reptans,1992
Briza media,1992
Cerastium fontanum,1992
Conopodium majus,1992
Centaurea nigra,1992
Carex caryophyllea,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Luzula campestris,1992
Leontodon hispidus,1992
Lotus corniculatus,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Pimpinella saxifraga,1992
Ranunculus acris,1992
Rumex acetosa,1992
Sanguisorba minor,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Festuca pratensis,1992
Trifolium repens,1992
Ranunculus bulbosus,1992
Trisetum flavescens,1992
Ophioglossum vulgatum,1992
Agrostis capillaris,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Briza media,1992
Cerastium fontanum,1992
Conopodium majus,1992
Centaurea nigra,1992
Carex caryophyllea,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Luzula campestris,1992
Leontodon hispidus,1992
Lotus corniculatus,1992
Plantago lanceolata,1992
Pimpinella saxifraga,1992
Ranunculus acris,1992
Sanguisorba minor,1992
Ranunculus bulbosus,1992
Pilosella officinarum,1992
Agrostis capillaris,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Ajuga reptans,1992
Briza media,1992
Conopodium majus,1992
Centaurea nigra,1992
Carex caryophyllea,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Luzula campestris,1992
Leontodon hispidus,1992
Lotus corniculatus,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Pimpinella saxifraga,1992
Ranunculus acris,1992
Sanguisorba minor,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Crepis capillaris,1992
Trifolium repens,1992
Ranunculus bulbosus,1992
Prunella vulgaris,1992
Pilosella officinarum,1992
Galium verum,1992
Primula veris,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Briza media,1992
Cerastium fontanum,1992
Centaurea nigra,1992
Carex caryophyllea,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Luzula campestris,1992
Leontodon hispidus,1992
Lolium perenne,1992
Lotus corniculatus,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Pimpinella saxifraga,1992
Ranunculus acris,1992
Rumex acetosa,1992
Sanguisorba minor,1992
Tragopogon pratensis,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Knautia arvensis,1992
Trisetum flavescens,1992
Carex flacca,1992
Veronica chamaedrys,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Briza media,1992
Cerastium fontanum,1992
Conopodium majus,1992
Centaurea nigra,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Luzula campestris,1992
Leontodon hispidus,1992
Lolium perenne,1992
Lotus corniculatus,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa pratensis,1992
Pimpinella saxifraga,1992
Ranunculus acris,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Ranunculus bulbosus,1992
Knautia arvensis,1992
Trisetum flavescens,1992
Agrostis capillaris,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Briza media,1992
Conopodium majus,1992
Centaurea nigra,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Luzula campestris,1992
Leontodon hispidus,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Pimpinella saxifraga,1992
Ranunculus acris,1992
Rumex acetosa,1992
Sanguisorba minor,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Crepis capillaris,1992
Ononis repens,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Cerastium fontanum,1992
Conopodium majus,1992
Centaurea nigra,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Luzula campestris,1992
Leontodon hispidus,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa pratensis,1992
Pimpinella saxifraga,1992
Ranunculus acris,1992
Rumex acetosa,1992
Trifolium pratense,1992
Ranunculus bulbosus,1992
Knautia arvensis,1992
Agrostis capillaris,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Centaurea nigra,1992
Festuca rubra,1992
Helictotrichon pubescens,1992
Plantago lanceolata,1992
Poa pratensis,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Agrostis capillaris,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Leontodon hispidus,1992
Poa pratensis,1992
Taraxacum officinale,1992
Agrostis capillaris,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Poa pratensis,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Agrostis capillaris,1992
Anthoxanthum odoratum,1992
Festuca rubra,1992
Poa trivialis,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Cerastium fontanum,1992
Conopodium majus,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Heracleum sphondylium,1992
Lolium perenne,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa pratensis,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Arrhenatherum elatius,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Conopodium majus,1992
Dactylis glomerata,1992
Holcus lanatus,1992
Heracleum sphondylium,1992
Lolium perenne,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa pratensis,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Cerastium fontanum,1992
Conopodium majus,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Heracleum sphondylium,1992
Lolium perenne,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Festuca pratensis,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Cerastium fontanum,1992
Conopodium majus,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Heracleum sphondylium,1992
Lolium perenne,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa pratensis,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Tragopogon pratensis,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Trifolium repens,1992
Veronica chamaedrys,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Conopodium majus,1992
Centaurea nigra,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Heracleum sphondylium,1992
Luzula campestris,1992
Lotus corniculatus,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa pratensis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Crepis capillaris,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Conopodium majus,1992
Centaurea nigra,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Luzula campestris,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa pratensis,1992
Ranunculus acris,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Crepis capillaris,1992
Deschampsia caespitosa,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Briza media,1992
Cerastium fontanum,1992
Conopodium majus,1992
Centaurea nigra,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Heracleum sphondylium,1992
Luzula campestris,1992
Leontodon hispidus,1992
Lolium perenne,1992
Lotus corniculatus,1992
Plantago lanceolata,1992
Poa pratensis,1992
Pimpinella saxifraga,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Sanguisorba minor,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Festuca pratensis,1992
Trifolium repens,1992
Trisetum flavescens,1992
Galium verum,1992
Veronica chamaedrys,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Briza media,1992
Cerastium fontanum,1992
Conopodium majus,1992
Centaurea nigra,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Heracleum sphondylium,1992
Luzula campestris,1992
Leontodon hispidus,1992
Lotus corniculatus,1992
Plantago lanceolata,1992
Poa pratensis,1992
Pimpinella saxifraga,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Sanguisorba minor,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Crepis capillaris,1992
Trisetum flavescens,1992
Ophioglossum vulgatum,1992
Veronica chamaedrys,1992
Agrostis capillaris,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Cerastium fontanum,1992
Conopodium majus,1992
Centaurea nigra,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Heracleum sphondylium,1992
Luzula campestris,1992
Leontodon hispidus,1992
Plantago lanceolata,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Sanguisorba minor,1992
Taraxacum officinale,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Cerastium fontanum,1992
Conopodium majus,1992
Centaurea nigra,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Luzula campestris,1992
Leontodon hispidus,1992
Lotus corniculatus,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Ranunculus acris,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Crepis capillaris,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Cerastium fontanum,1992
Conopodium majus,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Heracleum sphondylium,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa pratensis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Conopodium majus,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Heracleum sphondylium,1992
Poa pratensis,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Agrostis capillaris,1992
Anthoxanthum odoratum,1992
Conopodium majus,1992
Festuca rubra,1992
Holcus lanatus,1992
Heracleum sphondylium,1992
Plantago lanceolata,1992
Poa pratensis,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Anthoxanthum odoratum,1992
Holcus lanatus,1992
Quercus robur,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Conopodium majus,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Heracleum sphondylium,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa pratensis,1992
Poa trivialis,1992
Rumex acetosa,1992
Tragopogon pratensis,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Arrhenatherum elatius,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Conopodium majus,1992
Dactylis glomerata,1992
Holcus lanatus,1992
Heracleum sphondylium,1992
Lathyrus pratensis,1992
Poa pratensis,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Anthoxanthum odoratum,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Heracleum sphondylium,1992
Poa pratensis,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Anthoxanthum odoratum,1992
Holcus lanatus,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Cerastium fontanum,1992
Festuca rubra,1992
Holcus lanatus,1992
Plantago lanceolata,1992
Poa pratensis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Crepis capillaris,1992
Quercus robur,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Festuca rubra,1992
Holcus lanatus,1992
Poa pratensis,1992
Rumex acetosa,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Anthoxanthum odoratum,1992
Festuca rubra,1992
Holcus lanatus,1992
Poa pratensis,1992
Anthoxanthum odoratum,1992
Quercus robur,1992
Arrhenatherum elatius,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Dactylis glomerata,1992
Holcus lanatus,1992
Heracleum sphondylium,1992
Poa pratensis,1992
Poa trivialis,1992
Taraxacum officinale,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Heracleum sphondylium,1992
Lolium perenne,1992
Poa pratensis,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Agrostis capillaris,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Dactylis glomerata,1992
Holcus lanatus,1992
Heracleum sphondylium,1992
Poa pratensis,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Holcus lanatus,1992
Arrhenatherum elatius,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Heracleum sphondylium,1992
Lolium perenne,1992
Lathyrus pratensis,1992
Poa pratensis,1992
Poa trivialis,1992
Taraxacum officinale,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Alopecurus pratensis,1992
Conopodium majus,1992
Dactylis glomerata,1992
Holcus lanatus,1992
Heracleum sphondylium,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Arrhenatherum elatius,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Heracleum sphondylium,1992
Poa pratensis,1992
Rumex acetosa,1992
Alopecurus pratensis,1992
Holcus lanatus,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Ajuga reptans,1992
Briza media,1992
Cerastium fontanum,1992
Conopodium majus,1992
Centaurea nigra,1992
Carex caryophyllea,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Heracleum sphondylium,1992
Luzula campestris,1992
Leontodon hispidus,1992
Lolium perenne,1992
Lotus corniculatus,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa pratensis,1992
Pimpinella saxifraga,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Sanguisorba minor,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Crepis capillaris,1992
Trifolium repens,1992
Knautia arvensis,1992
Prunella vulgaris,1992
Stachys officinalis,1992
Veronica chamaedrys,1992
Hypochoeris radicata,1992
Potentilla sterilis,1992
Stellaria graminea,1992
Agrostis capillaris,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Briza media,1992
Cerastium fontanum,1992
Conopodium majus,1992
Centaurea nigra,1992
Carex caryophyllea,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Luzula campestris,1992
Leontodon hispidus,1992
Lotus corniculatus,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Pimpinella saxifraga,1992
Poa trivialis,1992
Ranunculus acris,1992
Sanguisorba minor,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Trifolium repens,1992
Knautia arvensis,1992
Trisetum flavescens,1992
Carex flacca,1992
Stachys officinalis,1992
Stellaria graminea,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Briza media,1992
Conopodium majus,1992
Centaurea nigra,1992
Carex caryophyllea,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Heracleum sphondylium,1992
Luzula campestris,1992
Leontodon hispidus,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Pimpinella saxifraga,1992
Ranunculus acris,1992
Rumex acetosa,1992
Sanguisorba minor,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Knautia arvensis,1992
Prunella vulgaris,1992
Stachys officinalis,1992
Pilosella officinarum,1992
Hypochoeris radicata,1992
Stellaria graminea,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Briza media,1992
Conopodium majus,1992
Centaurea nigra,1992
Carex caryophyllea,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Luzula campestris,1992
Leontodon hispidus,1992
Lolium perenne,1992
Plantago lanceolata,1992
Pimpinella saxifraga,1992
Ranunculus acris,1992
Sanguisorba minor,1992
Taraxacum officinale,1992
Trifolium repens,1992
Knautia arvensis,1992
Stachys officinalis,1992
Pilosella officinarum,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Alopecurus pratensis,1992
Ajuga reptans,1992
Anthriscus sylvestris,1992
Cerastium fontanum,1992
Conopodium majus,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Heracleum sphondylium,1992
Lolium perenne,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa pratensis,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Alopecurus pratensis,1992
Ajuga reptans,1992
Anthriscus sylvestris,1992
Cerastium fontanum,1992
Conopodium majus,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Heracleum sphondylium,1992
Lolium perenne,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa pratensis,1992
Pimpinella saxifraga,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Ajuga reptans,1992
Cerastium fontanum,1992
Conopodium majus,1992
Carex caryophyllea,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Luzula campestris,1992
Lolium perenne,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa pratensis,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Tragopogon pratensis,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Cerastium fontanum,1992
Conopodium majus,1992
Centaurea nigra,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Lolium perenne,1992
Plantago lanceolata,1992
Poa pratensis,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Heracleum sphondylium,1992
Lolium perenne,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa pratensis,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Bromus hordeaceus,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Cerastium fontanum,1992
Conopodium majus,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Heracleum sphondylium,1992
Lolium perenne,1992
Plantago lanceolata,1992
Poa pratensis,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Tragopogon pratensis,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Ranunculus ficaria,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Heracleum sphondylium,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa pratensis,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Bromus hordeaceus,1992
Arrhenatherum elatius,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Conopodium majus,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Heracleum sphondylium,1992
Lolium perenne,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa pratensis,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Bromus hordeaceus,1992
Arrhenatherum elatius,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Conopodium majus,1992
Dactylis glomerata,1992
Festuca rubra,1992
Helictotrichon pubescens,1992
Heracleum sphondylium,1992
Lolium perenne,1992
Lathyrus pratensis,1992
Poa pratensis,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Arrhenatherum elatius,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Conopodium majus,1992
Dactylis glomerata,1992
Festuca rubra,1992
Heracleum sphondylium,1992
Poa pratensis,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Tragopogon pratensis,1992
Taraxacum officinale,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Conopodium majus,1992
Dactylis glomerata,1992
Festuca rubra,1992
Helictotrichon pubescens,1992
Heracleum sphondylium,1992
Lolium perenne,1992
Lathyrus pratensis,1992
Poa pratensis,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Potentilla reptans,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Conopodium majus,1992
Dactylis glomerata,1992
Festuca rubra,1992
Heracleum sphondylium,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa pratensis,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Bromus hordeaceus,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Anthriscus sylvestris,1992
Conopodium majus,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Heracleum sphondylium,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa pratensis,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Tragopogon pratensis,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Trisetum flavescens,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Conopodium majus,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Heracleum sphondylium,1992
Luzula campestris,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa pratensis,1992
Pimpinella saxifraga,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Tragopogon pratensis,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Agrostis capillaris,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Conopodium majus,1992
Centaurea nigra,1992
Dactylis glomerata,1992
Festuca rubra,1992
Helictotrichon pubescens,1992
Luzula campestris,1992
Lotus corniculatus,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Crepis capillaris,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Conopodium majus,1992
Centaurea nigra,1992
Dactylis glomerata,1992
Festuca rubra,1992
Holcus lanatus,1992
Helictotrichon pubescens,1992
Heracleum sphondylium,1992
Luzula campestris,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa pratensis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Crepis capillaris,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Achillea millefolium,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Conopodium majus,1992
Dactylis glomerata,1992
Festuca rubra,1992
Helictotrichon pubescens,1992
Heracleum sphondylium,1992
Lolium perenne,1992
Lathyrus pratensis,1992
Plantago lanceolata,1992
Poa trivialis,1992
Ranunculus acris,1992
Rumex acetosa,1992
Taraxacum officinale,1992
Trifolium pratense,1992
Trisetum flavescens,1992
Ranunculus auricomus,1992
Agrostis capillaris,1992
Arrhenatherum elatius,1992
Anthoxanthum odoratum,1992
Alopecurus pratensis,1992
Anthriscus sylvestris,1992
Conopodium majus,1992
Dactylis glomerata,1992
Festuca rubra,1992
